row,id
1656,16771
1657,22943
1658,29979
1659,37489
1660,59238
1661,45913
1662,31813
1663,23280
1664,10141
1665,37480
1666,30059
1667,45028
1668,37330
1669,36900
1670,10194
1671,54647
1672,23260
1673,44990
1674,36776
1675,10317
1676,45926
1677,28439
1678,32373
1679,11485
1680,32368
1681,4715
1682,13060
1683,52675
1684,29456
1685,54660
1686,45027
1687,29754
1688,10609
1689,19281
1690,46546
1691,48009
1692,45195
1693,49844
1694,43181
1695,25612
1696,51623
1697,48035
1698,51563
1699,29507
1700,29937
1701,25659
1702,30043
1703,43161
1704,37503
1705,59256
1706,51654
1707,51625
1708,37319
1709,31851
1710,29447
1711,49322
1712,45273
1713,43186
1714,56676
1715,54670
1716,4704
1717,54665
1718,36901
1719,29756
1720,8134
1721,29939
1722,25641
1723,52816
1724,23269
1725,5068
1726,25622
1727,54641
1728,38008
1729,49885
1730,32318
1731,54627
1732,30000
1733,30018
1734,44979
1735,40552
1736,46573
1737,29945
1738,37509
1739,11196
1740,19278
1741,31849
1742,45296
1743,51532
1744,46458
1745,45041
1746,54662
1747,30002
1748,13062
1749,37291
1750,28413
1751,51716
1752,38210
1753,16890
1754,38222
1755,28190
1756,16879
1757,28406
1758,50201
1759,8683
1760,16888
1761,49673
1762,16951
1763,39994
1764,29140
1765,16090
1766,51707
1767,28421
1768,16948
1769,8704
1770,38216
1771,38208
1772,38204
1773,8667
1774,8671
1775,8665
1776,21320
1777,21281
1778,38195
1779,16898
1780,21304
1781,23725
1782,28279
1783,21314
1784,17324
1785,49676
1786,49661
1787,29882
1788,17319
1789,49167
1790,38236
1791,48218
1792,23736
1793,16946
1794,23761
1795,16859
1796,51728
1797,28337
1798,38165
1799,38185
1800,23759
1801,28411
1802,30565
1803,8672
1804,51702
1805,38235
1806,30266
1807,49671
1808,51662
1809,51706
1810,28370
1811,8674
1812,48200
1813,28289
1814,8616
1815,30678
1816,16853
1817,14908
1818,16846
1819,16891
1820,48216
1821,28285
1822,28308
1823,49670
1824,16862
1825,29957
1826,28208
1827,8643
1828,51730
1829,8696
1830,29877
1831,17334
1832,28209
1833,49666
1834,48202
1835,28282
1836,14907
1837,28182
1838,58527
1839,51700
1840,48196
1841,29128
1842,8661
1843,38240
1844,29135
1845,38181
1846,28161
1847,16084
1848,29132
1849,28394
1850,21312
1851,41519
1852,8768
1853,16091
1854,51666
1855,51663
1856,49662
1857,17601
1858,48208
1859,29869
1860,58531
1861,29963
1862,38163
1863,17309
1864,16894
1865,21282
1866,23714
1867,17224
1868,8713
1869,28426
1870,49674
1871,23790
1872,29134
1873,30665
1874,28154
1875,51708
1876,23746
1877,23745
1878,48223
1879,28163
1880,8636
1881,38212
1882,48198
1883,8680
1884,8681
1885,16101
1886,8690
1887,30567
1888,29885
1889,21308
1890,28310
1891,16107
